Entity,Country,DeathRate
Congenital anomalies,Japan,2.20
Congenital anomalies,Malaysia,4.56
Congenital anomalies,Philippines,8.93
Congenital anomalies,Singapore,1.32
Congenital anomalies,Thailand,4.17
Congenital anomalies,UK,3.51
Congenital anomalies,US,4.00
Congenital anomalies,Viet Nam,9.36
Oral conditions,Australia,0.12
Oral conditions,Canada,0.10
Oral conditions,China,0.00
Oral conditions,South Korea,0.00
Oral conditions,France,0.15
Oral conditions,Germany,0.07
Oral conditions,India,0.04
Oral conditions,Indonesia,0.00
Oral conditions,Japan,0.06
Oral conditions,Malaysia,0.00
Oral conditions,Philippines,0.04
Oral conditions,Singapore,0.04
Oral conditions,Thailand,0.00
Oral conditions,UK,0.09
Oral conditions,US,0.09
Oral conditions,Viet Nam,0.00
Sudden infant death syndrome,Australia,0.25
Sudden infant death syndrome,Canada,0.18
Sudden infant death syndrome,China,0.05
Sudden infant death syndrome,South Korea,0.09
Sudden infant death syndrome,France,0.19
Sudden infant death syndrome,Germany,0.13
Sudden infant death syndrome,India,0.43
Sudden infant death syndrome,Indonesia,0.31
Sudden infant death syndrome,Japan,0.12
Sudden infant death syndrome,Malaysia,0.08
Sudden infant death syndrome,Philippines,0.49
Sudden infant death syndrome,Singapore,0.05
Sudden infant death syndrome,Thailand,0.22
Sudden infant death syndrome,UK,0.17
Sudden infant death syndrome,US,0.45
Sudden infant death syndrome,Viet Nam,0.31
Unintentional injuries,Australia,24.82
Unintentional injuries,Canada,29.45
Unintentional injuries,China,40.39
Unintentional injuries,South Korea,44.71
Unintentional injuries,France,36.03
Unintentional injuries,Germany,30.45
Unintentional injuries,India,61.31
Unintentional injuries,Indonesia,34.94
Unintentional injuries,Japan,30.91
Unintentional injuries,Malaysia,34.33
Unintentional injuries,Philippines,25.83
Unintentional injuries,Singapore,8.75
Unintentional injuries,Thailand,60.08
Unintentional injuries,UK,21.62
Unintentional injuries,US,34.94
Unintentional injuries,Viet Nam,54.36
Intentional injuries,Australia,14.32
Intentional injuries,Canada,13.98
Intentional injuries,China,10.76
Intentional injuries,South Korea,16.60
